"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.282,0.379,0.25,0.49,-0.73,-0.41
"ClusIPW",13.884,0.217,-0.43,0.57,-0.57,-0.41
"addIPW",17.9,0.502,0.49,0.26,-0.81,-0.16
"Oracle",22.811,0.722,0,0.2,-0.1,0.98
