"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.269,0.41,-0.47,0.12,-0.26,0.83
"ClusIPW",14.483,0.241,-0.49,0.63,-0.48,-0.36
"addIPW",17.535,0.72,-0.38,-0.09,0.85,0.34
"Oracle",22.865,0.724,0,0.2,-0.1,0.98
