"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.726,0.513,0.42,0.65,-0.13,-0.62
"ClusIPW",17.72,0.436,-0.04,0.93,-0.24,-0.28
"addIPW",17.135,0.49,0.31,0.01,-0.91,0.27
"Oracle",22.866,0.72,0,0.2,-0.1,0.98
