"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.25,0,-1,0,0,0
"ClusIPW",19.991,0.583,0.2,0.94,0.2,0.19
"addIPW",15.132,0.473,0.41,0,-0.91,0.04
"Oracle",22.811,0.72,0,0.2,-0.1,0.98
