"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.348,0.511,0.35,0.43,-0.82,0.16
"ClusIPW",20.023,0.696,0.45,0.61,0.61,-0.22
"addIPW",20.034,0.641,0.44,0.81,0.39,-0.09
"Oracle",22.757,0.718,0,0.2,-0.1,0.98
