"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.759,0.491,0.05,0.53,-0.67,0.52
"ClusIPW",21.718,0.8,0.57,0.57,0.34,0.49
"addIPW",20.452,1,1,0,0,0
"Oracle",22.936,0.723,0,0.2,-0.1,0.98
