"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.26,0.41,-0.26,0.43,-0.57,0.65
"ClusIPW",14.618,0.248,-0.46,0.64,-0.49,-0.37
"addIPW",20.998,0.757,-0.33,0.03,0.68,0.65
"Oracle",22.863,0.722,0,0.2,-0.1,0.98
