"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.112,0.366,-0.3,0.8,-0.52,0.02
"ClusIPW",16.432,0.349,-0.27,0.81,-0.4,-0.33
"addIPW",21.402,0.665,-0.36,0.24,0.79,0.43
"Oracle",22.798,0.721,0,0.2,-0.1,0.98
