"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.342,0.634,0.57,0.81,-0.11,0.08
"ClusIPW",17.407,0.352,-0.23,0.55,-0.72,0.34
"addIPW",22.202,0.572,-0.37,0.24,0.11,0.89
"Oracle",22.819,0.722,0,0.2,-0.1,0.98
