"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.245,0.415,-0.53,0.48,-0.07,0.7
"ClusIPW",19.074,0.429,-0.35,0.61,-0.37,0.61
"addIPW",21.62,0.505,-0.48,0.21,0.14,0.84
"Oracle",22.832,0.723,0,0.2,-0.1,0.98
