"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.422,0.65,0.65,0.66,-0.38,0.07
"ClusIPW",21.407,0.935,0.55,0.33,0.55,0.55
"addIPW",20.503,1,1,0,0,0
"Oracle",22.775,0.719,0,0.2,-0.1,0.98
