"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.56,0.552,-0.09,0.65,-0.2,0.72
"ClusIPW",21.014,0.695,0.37,0.74,0.47,0.31
"addIPW",21.084,0.678,-0.2,0.39,0.81,0.38
"Oracle",22.834,0.721,0,0.2,-0.1,0.98
