"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.225,0,-1,0,0,0
"ClusIPW",10.131,0.044,-0.55,0.28,-0.55,-0.55
"addIPW",19.673,0.564,0.35,0.89,-0.27,0.13
"Oracle",22.841,0.719,0,0.2,-0.1,0.98
