"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.695,0.525,0.37,0.85,-0.23,-0.3
"ClusIPW",12.913,0.175,-0.48,0.51,-0.51,-0.51
"addIPW",21.742,0.868,0.81,0.39,-0.21,0.38
"Oracle",22.735,0.716,0,0.2,-0.1,0.98
