"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.238,0,-1,0,0,0
"ClusIPW",15.837,0.305,-0.46,0.75,-0.45,-0.18
"addIPW",20.776,0.472,-0.34,0.34,-0.27,0.83
"Oracle",22.781,0.721,0,0.2,-0.1,0.98
