"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",19.815,0.413,-0.42,0.34,-0.3,0.79
"ClusIPW",18.819,0.469,-0.19,0.93,-0.17,0.25
"addIPW",22.463,0.737,-0.18,0.28,0.47,0.82
"Oracle",22.785,0.722,0,0.2,-0.1,0.98
