"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.24,0,-1,0,0,0
"ClusIPW",12.489,0.118,-0.87,0.42,-0.26,0.01
"addIPW",22.011,0.741,-0.33,0.16,0.75,0.55
"Oracle",22.82,0.723,0,0.2,-0.1,0.98
