"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",14.331,0.322,0.3,0.32,-0.72,-0.55
"ClusIPW",17.964,0.377,-0.29,0.62,-0.62,0.39
"addIPW",22.162,0.746,-0.33,0.14,0.7,0.62
"Oracle",22.937,0.722,0,0.2,-0.1,0.98
