"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.23,0,-1,0,0,0
"ClusIPW",18.145,0.386,-0.47,0.7,-0.32,0.44
"addIPW",20.701,0.59,0.39,0.2,-0.85,0.3
"Oracle",22.868,0.723,0,0.2,-0.1,0.98
