"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.26,0.585,-0.09,0.8,0.43,0.42
"ClusIPW",20.334,0.584,0.06,0.86,0.14,0.49
"addIPW",21.096,0.502,-0.45,0,0,0.89
"Oracle",22.857,0.722,0,0.2,-0.1,0.98
