"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.233,0,-1,0,0,0
"ClusIPW",20.46,1,0.58,0.02,0.57,0.58
"addIPW",17.022,0.675,-0.33,-0.24,0.51,0.75
"Oracle",22.752,0.721,0,0.2,-0.1,0.98
