"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",20.296,0.556,-0.01,0.78,-0.13,0.61
"ClusIPW",11.325,0.135,-0.2,0.32,-0.52,-0.77
"addIPW",20.482,1,1,0,0,0
"Oracle",22.905,0.723,0,0.2,-0.1,0.98
