"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.526,0.34,-0.43,0.56,-0.53,0.47
"ClusIPW",17.044,0.343,-0.45,0.74,-0.47,0.18
"addIPW",19.253,0.624,-0.46,0.05,0.84,0.29
"Oracle",22.847,0.722,0,0.2,-0.1,0.98
