"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.533,0.335,-0.45,0.3,-0.43,0.72
"ClusIPW",20.456,0.448,-0.36,0.32,-0.31,0.82
"addIPW",21.112,0.499,-0.45,0,0,0.89
"Oracle",22.748,0.718,0,0.2,-0.1,0.98
