"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.265,0.318,-0.72,0.57,0.39,-0.03
"ClusIPW",13.823,0.214,-0.48,0.58,-0.46,-0.47
"addIPW",21.686,0.637,-0.41,0.24,0.7,0.53
"Oracle",22.801,0.722,0,0.2,-0.1,0.98
