"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.415,0.492,0.42,0.27,-0.87,0
"ClusIPW",17.632,0.409,-0.14,0.87,-0.47,-0.06
"addIPW",21.082,0.717,0.69,0.59,-0.29,0.29
"Oracle",22.828,0.721,0,0.2,-0.1,0.98
