"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.227,0,-1,0,0,0
"ClusIPW",16.897,0.365,-0.36,0.86,-0.33,-0.15
"addIPW",22.417,0.725,0.22,0.36,-0.28,0.86
"Oracle",22.784,0.718,0,0.2,-0.1,0.98
