"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",15.171,0.364,0.32,0.38,-0.66,-0.57
"ClusIPW",19.534,0.555,0.16,0.97,0.16,0.06
"addIPW",22.236,0.71,-0.31,0.24,0.66,0.65
"Oracle",22.786,0.72,0,0.2,-0.1,0.98
