"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",13.93,0.33,0.39,0.17,-0.83,-0.35
"ClusIPW",12.701,0.162,-0.49,0.48,-0.53,-0.49
"addIPW",19.147,0.516,0.4,0.48,-0.78,0.06
"Oracle",22.794,0.72,0,0.2,-0.1,0.98
