"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.253,0,-1,0,0,0
"ClusIPW",21.073,0.659,0.33,0.79,0.16,0.49
"addIPW",21.723,0.514,-0.34,0.22,-0.17,0.9
"Oracle",22.863,0.72,0,0.2,-0.1,0.98
