"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",15.207,0.365,0.34,0.35,-0.7,-0.51
"ClusIPW",21.659,0.827,0.53,0.52,0.52,0.43
"addIPW",21.523,0.801,0.81,0.47,-0.26,0.25
"Oracle",22.889,0.722,0,0.2,-0.1,0.98
