"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",17.263,0.396,0.26,0.37,-0.89,-0.04
"ClusIPW",17.219,0.721,0.73,0.16,-0.44,-0.5
"addIPW",21.759,0.666,-0.33,0.3,0.7,0.56
"Oracle",22.92,0.723,0,0.2,-0.1,0.98
