"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",16.553,0.285,-0.78,0.51,0.02,0.36
"ClusIPW",13.832,0.215,-0.47,0.58,-0.49,-0.46
"addIPW",21.989,0.614,-0.44,0.21,0.55,0.68
"Oracle",22.747,0.719,0,0.2,-0.1,0.98
