"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.245,0,-1,0,0,0
"ClusIPW",12.34,0.147,-0.51,0.46,-0.51,-0.51
"addIPW",16.417,0.438,0.44,0.15,-0.88,-0.13
"Oracle",22.867,0.724,0,0.2,-0.1,0.98
