"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",14.467,0.202,-0.71,0.53,-0.46,0.08
"ClusIPW",14.116,0.193,-0.61,0.51,-0.61,0.05
"addIPW",9.255,0,-1,0,0,0
"Oracle",22.868,0.722,0,0.2,-0.1,0.98
