"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",18.489,0.361,-0.66,0.4,0.09,0.62
"ClusIPW",15.455,0.293,-0.41,0.73,-0.45,-0.32
"addIPW",21.154,0.501,-0.45,0,0,0.89
"Oracle",22.786,0.718,0,0.2,-0.1,0.98
