"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",14.569,0.347,0.37,0.27,-0.75,-0.48
"ClusIPW",20.407,0.559,-0.06,0.76,-0.06,0.65
"addIPW",22.386,0.725,-0.34,0.14,0.63,0.68
"Oracle",22.771,0.719,0,0.2,-0.1,0.98
