"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",9.209,0,-1,0,0,0
"ClusIPW",11.899,0.127,-0.52,0.43,-0.52,-0.52
"addIPW",21.904,0.637,0.29,0.15,-0.78,0.54
"Oracle",22.796,0.72,0,0.2,-0.1,0.98
