"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.000651994882785987,0.5202,0.06,0.46,0.54,-0.56,-0.41
"ClusIPW",0.0280114341651065,0.6421,0.35,-0.42,0,0.83,0.11
"addIPW",0.610299119742967,0.524133333333333,0.07,0.69,0.46,0.21,0.52
"Oracle",0.613078846007828,0.494133333333333,0,0.63,0.32,0.32,0.63
