"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0188456500963573,0.448666666666667,-0.13,0.67,0.03,-0.66,-0.33
"ClusIPW",0.264129960866808,0.423966666666667,-0.19,0,0.71,-0.43,0.52
"addIPW",0.304993095014463,0.410033333333333,-0.2,0.48,0.3,-0.65,0.46
"Oracle",0.612692625439076,0.492,0,0.63,0.32,0.32,0.63
