"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0967873441489326,0.677766666666667,0.39,0.42,0.19,-0.64,-0.47
"ClusIPW",0.575030361614126,0.388766666666667,-0.28,0.53,0.39,0.52,0.48
"addIPW",0.548508147757761,0.503866666666667,0,0.73,0.24,0.61,0.19
"Oracle",0.603146669889481,0.490766666666667,0,0.63,0.32,0.32,0.63
