"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0800446236577127,0.517533333333333,0.07,0.55,0.33,-0.75,-0.13
"ClusIPW",0.589964811641532,0.521466666666667,0.05,0.62,0.19,0.06,0.76
"addIPW",0.587877392780156,0.579966666666667,0.22,0.52,0.36,0.22,0.71
"Oracle",0.633526283620264,0.504333333333333,0,0.63,0.32,0.32,0.63
