"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0244395698569027,0.557766666666667,0.15,0.63,0.3,-0.53,-0.45
"ClusIPW",0.574908904237504,0.4578,-0.11,0.38,0.62,0.46,0.49
"addIPW",0.53980961547877,0.583333333333333,0.21,0.28,0.16,0.52,0.76
"Oracle",0.622956167302192,0.498,0,0.63,0.32,0.32,0.63
