"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.170321839142902,0.3723,-0.29,0.77,0.28,-0.4,-0.28
"ClusIPW",0.539271212393942,0.5013,0.04,0.32,0.69,0.29,0.58
"addIPW",0.518124838279036,0.683,0.44,0.43,0.48,0.45,0.43
"Oracle",0.619832878300807,0.492,0,0.63,0.32,0.32,0.63
