"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0593256685872674,0.503966666666667,0,0.38,0.46,-0.69,-0.42
"ClusIPW",0.35968086130643,0.533166666666667,0.09,0.38,-0.5,0.13,0.76
"addIPW",0.603129368723309,0.502966666666667,0,0.56,0.49,0.02,0.67
"Oracle",0.632322445136465,0.501566666666667,0,0.63,0.32,0.32,0.63
