"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.142371973690512,0.431866666666667,-0.16,0.6,0.45,-0.61,-0.2
"ClusIPW",0.526759603259443,0.514366666666667,0.01,0.7,-0.09,-0.14,0.7
"addIPW",0.565729745817894,0.5262,0.07,0.46,0.45,0.65,0.41
"Oracle",0.628331074670969,0.4935,0,0.63,0.32,0.32,0.63
