"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.154960688952372,0.509233333333333,0.01,0.66,0.33,-0.66,-0.12
"ClusIPW",0.566801494815205,0.6288,0.32,0.67,0.01,0.3,0.6
"addIPW",0.530959285356401,0.7212,0.5,0.62,0.08,0.3,0.51
"Oracle",0.632654131470276,0.500633333333333,0,0.63,0.32,0.32,0.63
