"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.173348975928436,0.377,-0.28,0.68,0.23,-0.63,-0.07
"ClusIPW",0.446390466691573,0.410733333333333,-0.21,0.27,0.54,-0.23,0.73
"addIPW",0.419409173692545,0.431133333333333,-0.16,0.46,0.27,-0.44,0.7
"Oracle",0.631498636695792,0.4952,0,0.63,0.32,0.32,0.63
