"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.130765612915536,0.417766666666667,-0.21,0.78,0.11,-0.52,-0.25
"ClusIPW",0.491482602303148,0.263233333333333,-0.52,0.52,0.04,0.25,0.63
"addIPW",0.561882727026171,0.326333333333333,-0.41,0.7,0.23,0.29,0.46
"Oracle",0.648986391143224,0.512166666666667,0,0.63,0.32,0.32,0.63
