"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0892945856972252,0.5269,0.05,0.82,0.06,-0.35,-0.45
"ClusIPW",0.555504672178988,0.2972,-0.47,0.55,0.35,0.21,0.55
"addIPW",0.606272718859229,0.4996,-0.01,0.81,0.31,0.28,0.41
"Oracle",0.607216924629885,0.494,0,0.63,0.32,0.32,0.63
