"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0719878921360272,0.382066666666667,-0.3,0.48,0.34,-0.46,-0.59
"ClusIPW",0.534275976790986,0.2917,-0.49,0.62,0.38,0.16,0.45
"addIPW",0.482509960196499,0.757366666666667,0.56,0.61,0.07,0.09,0.55
"Oracle",0.635143767610609,0.5046,0,0.63,0.32,0.32,0.63
