"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.135926935669355,0.4835,-0.04,0.58,0.58,-0.5,-0.26
"ClusIPW",0.398914738466841,0.757466666666667,0.57,0.08,0.14,0.57,0.57
"addIPW",0.602631276260802,0.467766666666667,-0.06,0.72,0.33,0.06,0.6
"Oracle",0.638103849470204,0.503633333333333,0,0.63,0.32,0.32,0.63
