"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0893593653811795,0.5066,0.01,0.52,0.57,-0.52,-0.37
"ClusIPW",0.203510319090487,0.674333333333333,0.39,0.6,0.2,0.52,-0.42
"addIPW",0.44640382078384,0.536533333333333,0.08,-0.07,0.21,0.31,0.92
"Oracle",0.636500530968804,0.501633333333333,0,0.63,0.32,0.32,0.63
