"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0153049231706787,0.400433333333333,-0.26,0.53,0.42,-0.49,-0.49
"ClusIPW",0.491507480385005,0.297033333333333,-0.47,0.53,0.52,0.01,0.47
"addIPW",0.529433929390718,0.4459,-0.12,0.92,0.24,0.14,0.23
"Oracle",0.623773096542587,0.501233333333333,0,0.63,0.32,0.32,0.63
