"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0537976526085052,0.4959,-0.02,0.62,0.28,-0.68,-0.27
"ClusIPW",0.373555074861972,0.623266666666667,0.3,0.49,0.81,-0.07,0.1
"addIPW",0.60422029369171,0.4424,-0.14,0.69,0.19,0.37,0.58
"Oracle",0.624732632965696,0.499733333333333,0,0.63,0.32,0.32,0.63
