"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.147390707822011,0.398133333333333,-0.25,0.78,0.28,-0.3,-0.41
"ClusIPW",0.455241654923464,0.3148,-0.45,0.52,0.68,0.15,0.19
"addIPW",0.620073002832418,0.505166666666667,0,0.54,0.38,0.13,0.74
"Oracle",0.634627539405787,0.506633333333333,0,0.63,0.32,0.32,0.63
