"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.2339681368066,0.4399,-0.14,0.9,0.13,-0.19,-0.35
"ClusIPW",0.541553333528177,0.7204,0.5,0.5,0.14,0.5,0.5
"addIPW",0.549849415017297,0.485766666666667,-0.04,0.83,0.32,0.41,0.2
"Oracle",0.627567744571406,0.494233333333333,0,0.63,0.32,0.32,0.63
